dataset,seed,mae,r2,pearson
Dropout,0,0.2004006628918141,0.6566228809588432,0.810934579134346
Dropout,1,0.2033961141861517,0.6597988617372224,0.812637501239566
Dropout,2,0.204595239097491,0.6528804701865896,0.8082837804246327
Dropout,3,0.2124964102053898,0.6327873138222267,0.7956480540027264
Dropout,4,0.1973751011220103,0.6848974941223378,0.8288746319872445
Dropout,5,0.202581617915,0.6670398205470641,0.8168657186842335
Dropout,6,0.197250027311408,0.6672598675100632,0.8172321939649534
Dropout,7,0.2100869488087062,0.6518799122526562,0.8081070078115216
Dropout,8,0.2083614711690373,0.6342285119840403,0.7966814514220383
Dropout,9,0.2028635564449693,0.6469204100613314,0.805285614031815
Dropout,10,0.2107085669786082,0.627491248502564,0.7931389624399463
Dropout,11,0.2102707911411713,0.6354984188859378,0.797398254111233
Dropout,12,0.1955080355450392,0.6934868681038484,0.8333202707264966
Dropout,13,0.2018170279039186,0.6561552916741717,0.8102888145704075
Dropout,14,0.202557825692808,0.67631560932441,0.8227481395283845
Dropout,15,0.2109677608939298,0.6401886459927258,0.8004035671026971
Dropout,16,0.208303119136376,0.6444679163699152,0.8045268186379434
Dropout,17,0.1956509603263311,0.6916762532922129,0.8329194139062235
Dropout,18,0.2085181284301476,0.6524677267011505,0.807815759068422
Dropout,19,0.2161662494547999,0.601674320697758,0.7773599930039318
Dropout,20,0.211654166161924,0.6304917003383399,0.7946522567633828
Dropout,21,0.2126004510579985,0.6433021382254716,0.8027588220085593
Dropout,22,0.2136685866044079,0.6366379683715144,0.7979558107211666
Dropout,23,0.2001572825052824,0.6829827006558884,0.8270715880177547
Dropout,24,0.2141167564832739,0.6421514443174885,0.8017221139382543
Dropout,25,0.2009704252843307,0.6785202373229273,0.8244052353375214
Dropout,26,0.2011875967732991,0.6725097337623394,0.8202125454351951
Dropout,27,0.1962757994569042,0.6929495180769321,0.8324524396515314
Dropout,28,0.2056134181158371,0.6516940603122288,0.8072981231334874
Dropout,29,0.2129708155897314,0.6263227213535287,0.7919071109122141
Dropout,30,0.2087932918316038,0.6444471098073149,0.803044555417561
Dropout,31,0.1987539523120471,0.675986993013312,0.8222975488116917
Dropout,32,0.2052636186843478,0.6674139510476451,0.8189599176149542
Dropout,33,0.2125555363265367,0.6211751227126471,0.7886637145278015
Dropout,34,0.2035769295542832,0.6592010107649928,0.8119264681248837
Dropout,35,0.2019761920806785,0.6593294765241005,0.8121202387899418
Dropout,36,0.2064094297467978,0.6570274081900056,0.8106208365951006
Dropout,37,0.2108564924337838,0.6333444775515893,0.7964764494444172
