dataset,feature,mean_coef,sd_coef,sign_flip_rate
UCI Student,f5,-0.8619309097136733,0.06313264502629284,0.0
UCI Student,f4,0.39257566924789344,0.05717763471228324,0.0
UCI Student,f49,0.26996429224135937,0.032304693308098716,0.0
UCI Student,f48,-0.2699642922413593,0.03230469330809867,0.0
UCI Student,f11,-0.2525448124808852,0.05074914289710446,0.0
UCI Student,f30,0.2289332221752268,0.06122802887620851,0.0
UCI Student,f33,-0.21716968874060427,0.05434315535636213,0.0
UCI Student,f9,-0.20238330685625316,0.0967956219378437,0.03
UCI Student,f2,0.19871257963364503,0.08600716587566953,0.04
UCI Student,f22,0.18989018907544136,0.04678858482001734,0.0
Higher Ed,f28,0.6687883432044951,0.1232507286114533,0.0
Higher Ed,f0,-0.6618816064431807,0.13394752101351542,0.0
Higher Ed,f17,0.6184721031594855,0.12126726308985172,0.0
Higher Ed,f1,0.5062995960013373,0.11910059737810168,0.0
Higher Ed,f8,-0.41791731729069626,0.10302096039965104,0.0
Higher Ed,f25,0.40231354366928573,0.11937604976269525,0.0
Higher Ed,f4,0.40128549170711253,0.13189760092369204,0.0
Higher Ed,f2,0.33173259387361503,0.10792404720021095,0.0
Higher Ed,f15,-0.3040891900293654,0.10311756022743473,0.0
Higher Ed,f9,0.3004186831475243,0.10879159171781769,0.02
OULAD,f3,0.1749485631369362,0.004592231114525838,0.0
OULAD,f2,0.1623875069060045,0.006270511561233243,0.0
OULAD,f4,0.1144346945383576,0.0034045505307431258,0.0
OULAD,f1,-0.07956004063356781,0.005064083167872927,0.0
OULAD,f0,-0.039168214935796294,0.002602045449308639,0.0
OULAD,f5,-0.02362117630367106,0.003104011871593524,0.0
OULAD,f10,0.022057915805831548,0.0012567177608162952,0.0
OULAD,f11,-0.02205791580583154,0.001256717760816295,0.0
OULAD,f29,-0.014765942993501471,0.0018260028685131682,0.0
OULAD,f27,0.01329261343089558,0.0016093998947116145,0.0
