dataset,feature,mean_importance,sd_importance,cv_importance
UCI Student,f5,0.19335547403188993,0.014717205552179322,0.076114756330118
UCI Student,f12,0.06752402235671764,0.006754755353566564,0.100034833788989
UCI Student,f8,0.047087696172991966,0.0058983062168518575,0.12526212670420844
UCI Student,f0,0.04449347525378069,0.004758166766466217,0.1069407518724757
UCI Student,f7,0.03922536285438696,0.004747923474663889,0.12104215025027817
UCI Student,f4,0.03829509734490705,0.0055668154847501004,0.14536623267855767
UCI Student,f2,0.03643989091947097,0.004484783991045386,0.12307344086792034
UCI Student,f10,0.03625235394297268,0.004697745150615197,0.12958451917797842
UCI Student,f9,0.035974132679859494,0.007125061239019721,0.1980606265568842
UCI Student,f6,0.033896964436999986,0.005267390809811612,0.15539412874743272
Higher Ed,f28,0.13143150624147798,0.027808922972909662,0.2115848905053836
Higher Ed,f1,0.07308522810051987,0.02988227940989324,0.40886887949648315
Higher Ed,f3,0.06387779351001338,0.015508508880376528,0.24278400364761196
Higher Ed,f27,0.053225577754559855,0.01359671894502183,0.25545455707733344
Higher Ed,f10,0.04626923128847902,0.009781954079879446,0.21141375582303182
Higher Ed,f12,0.04362469206497633,0.007754899473648728,0.17776395268209003
Higher Ed,f11,0.04042322245882976,0.008560481862442905,0.21177133400109904
Higher Ed,f16,0.038717018760739706,0.007917985830685613,0.2045091290350953
Higher Ed,f0,0.03849818050850562,0.009799703541263477,0.2545497180990461
Higher Ed,f7,0.03710263120035821,0.010804742213591397,0.2912122119620713
OULAD,f3,0.2708454964851042,0.00891911106551951,0.032930622262363575
OULAD,f2,0.2637054718535697,0.010014972748947013,0.037977870913233895
OULAD,f9,0.046794269582747974,0.003227976671523455,0.06898229228671658
OULAD,f1,0.036993995218916526,0.0014807468884151095,0.04002667133911588
OULAD,f6,0.024762359045848618,0.0014405642733208732,0.05817554332760346
OULAD,f5,0.023134168823663943,0.0018414933440678153,0.07960054939076343
OULAD,f0,0.018393721216602942,0.0012523047543924106,0.06808323660084956
OULAD,f10,0.014395028205591966,0.001700905120814652,0.11815912514590689
OULAD,f28,0.014237370233049646,0.0010445920823835433,0.07336968355728123
OULAD,f26,0.012694133272210615,0.0008048957249622903,0.06340685682383371
